Neighborhood,Reference,Distance
random,training,124.10630569420256
random,training,122.90153801338916
random,training,124.11484280377994
random,training,124.15384840473482
random,training,120.53766470120154
random,training,116.98714788065055
random,training,112.890169048626
random,training,116.77186229453828
random,training,116.06842646459087
random,training,110.85838502020702
random,training,112.29680233033
random,training,112.38179291154997
random,training,109.2473021238801
random,training,117.03812970584089
random,training,118.43148800161848
random,training,118.96476141928503
random,training,114.42006417603253
random,training,116.78579627543985
random,training,119.44623277430499
random,training,115.98808462530043
random,training,111.00684272152394
random,training,114.14500900175753
random,training,114.8719883605922
random,training,117.81034186273018
random,training,120.59071629248105
random,training,120.32605484737687
random,training,114.20387591366357
random,training,118.44266687713669
random,training,118.163365437939
random,training,117.08910626911424
random,training,117.1380150580921
random,training,118.89660076442767
random,training,120.12301453588738
random,training,126.01260898647726
random,training,131.258959057771
random,training,128.09181192522345
random,training,129.68006647655392
random,training,127.4720606117418
random,training,122.57090408786338
random,training,119.24372777184921
random,training,119.3335759842069
random,training,118.97667873129467
random,training,121.07323339245387
random,training,117.64097213660416
random,training,116.71056583888522
random,training,115.74623918422371
random,training,119.13714337797143
random,training,125.33080258115695
random,training,124.70059995615782
random,training,124.25141524086824
random,training,123.49633287846571
random,training,121.39156104299441
random,training,122.20485838172766
random,training,118.13031277190068
random,training,115.1664625607386
random,training,116.36352411225566
random,training,121.04910699745075
random,training,121.96896885742515
random,training,117.79641949235223
random,training,115.93849035228983
random,training,120.34526993515595
random,training,123.4772774199787
random,training,124.76924260584632
random,training,120.7056600772733
random,training,124.46337109258202
random,training,124.11279456194225
random,training,117.50077557372612
random,training,120.25732211521117
random,training,120.7957587815754
random,training,120.84688908854696
random,training,116.05538775269427
random,training,114.39228391644774
random,training,115.05674858394866
random,training,110.45236563853854
random,training,109.89932444898899
random,training,109.22621762820421
random,training,117.76563906594608
random,training,115.57940085948452
random,training,116.73290563304016
random,training,116.1573465477364
random,training,115.93621815772269
random,training,113.57431121278987
random,training,107.52417966283743
random,training,109.68581131230829
random,training,112.685424549606
random,training,116.02515897502566
random,training,115.61128981039383
random,training,113.545232178229
random,training,111.2102687700964
random,training,112.18184121196344
random,training,114.84270047340509
random,training,111.03515471818113
random,training,113.50740846259635
random,training,113.89287630155773
random,training,115.34612383555111
random,training,114.15085127816661
random,training,116.53489282508865
random,training,117.68016288259066
random,training,119.22014096942377
random,training,119.6731634505586
random,training,121.78184329005026
random,training,115.43005120014536
random,training,118.66633466365337
random,training,114.75762761486445
random,training,116.43976734166971
random,training,114.53374778918916
random,training,114.79795275199157
random,training,120.60805468139502
random,training,121.21853437089095
random,training,123.17938339586806
random,training,121.14404321972489
random,training,115.4987698247087
random,training,117.58067367287606
random,training,115.41301419999962
random,training,113.29095458819387
random,training,108.42134593846892
random,training,106.48442209049716
random,training,111.5936613054588
random,training,107.7912533218148
random,training,106.16149633786159
random,training,108.2345182397927
random,training,107.11092500035289
random,training,105.6488429182675
random,training,106.21684865148607
random,training,102.36286463203773
random,training,100.00815293168809
random,training,106.86373044257672
random,training,110.84360443733118
random,training,106.54138158801108
random,training,109.50185112330544
random,training,110.39687753352588
random,training,116.40433191133563
random,training,118.98908507698998
random,training,121.66893378248277
random,training,118.65746823322966
random,training,111.31497585612158
random,training,115.76534218637622
random,training,111.28045146228446
random,training,115.59592789376356
random,training,115.0326616277292
random,training,121.42465022529606
random,training,121.58538941163157
random,training,117.47941325064998
random,training,120.303533472598
random,training,116.03977200982665
random,training,116.86256150233295
random,training,114.38152930714952
random,training,115.64812099826487
random,training,116.07380681461815
random,training,114.7372192746204
random,training,116.96477709325931
random,training,119.63823963833087
random,training,115.23874707549831
random,training,107.46846719542336
random,training,109.8776148847724
random,training,112.77700980757506
random,training,114.81903993373322
random,training,114.42968274776838
random,training,118.12173791863168
random,training,117.71551128445535
random,training,126.0860606160223
random,training,126.4750366086762
random,training,129.01674588727488
random,training,132.12657760853872
random,training,136.33121980030225
random,training,136.19101952318834
random,training,133.07022699674403
random,training,125.6537702336415
random,training,118.40194312276506
random,training,117.7437584246166
random,training,115.23227342419048
random,training,110.9541892776864
random,training,106.57681347892479
random,training,108.04550456931293
random,training,108.9432767033082
random,training,107.48555145235548
random,training,113.57068035255874
random,training,113.12260544864942
random,training,116.87743170863101
random,training,117.93653535689594
random,training,122.46397049319637
random,training,119.24660522133705
random,training,120.6491572822992
random,training,121.19269020008952
random,training,122.38975280664437
random,training,124.51316504901237
random,training,124.36316919289403
random,training,118.42787696582307
random,training,119.58526010931593
random,training,114.81878719551685
random,training,119.53833513155394
random,training,118.25311009295675
random,training,116.67723294895832
random,training,117.64693114134968
random,training,117.37439868184077
random,training,118.88449218006652
random,training,118.97266665691484
random,training,122.29901654183233
random,training,119.28512384691584
random,training,124.3566904116638
random,training,122.30266957099657
random,training,120.31030737938868
random,training,115.90219476181082
random,training,116.11946800686961
random,training,126.73698684169774
random,training,127.88020117758163
random,training,126.51698820622731
random,training,126.80815349593558
random,training,122.05900455048655
random,training,118.91937670239523
random,training,121.47086977524404
random,training,115.21022710126005
random,training,117.4148408332881
random,training,113.0761080250518
random,training,114.06714517735404
random,training,112.83779119506288
random,training,121.88682389143341
random,training,119.44510805677947
random,training,120.55562087360413
random,training,122.66114723764487
random,training,118.7654877727665
random,training,120.18602395683348
random,training,120.57676494268875
random,training,116.00890388834382
random,training,115.75423747850236
random,training,113.70310749886175
random,training,112.3571135849181
random,training,111.20401623149468
random,training,115.66268063647153
random,training,119.67068993924235
random,training,119.64941066891605
random,training,118.66003012503954
random,training,121.59110473865294
random,training,120.36998481909572
random,training,122.06636392337163
random,training,126.77624216028558
random,training,121.04890989465223
random,training,117.71163611629215
random,training,122.8397491916166
random,training,122.8034740226985
random,training,123.29621712738206
random,training,121.28680234066492
random,training,118.257361520274
random,training,118.69245068868942
random,training,122.2971606239456
random,training,123.58100707305293
random,training,125.0234085876433
random,training,127.55800062217011
random,training,129.31478714361657
random,training,120.66860615516818
random,training,114.40794851679466
random,training,119.96686771763969
random,training,114.03206209579795
random,training,116.39345183250212
random,training,117.20746662334288
random,training,115.60095386099891
random,training,106.4955004893932
random,training,112.29477626977838
random,training,110.47822734381467
random,training,107.38428262041447
random,training,109.59143543130548
random,training,111.27732361747208
random,training,110.74603221096599
random,training,111.30737971982381
random,training,114.7046991462949
random,training,114.90614380093933
random,training,111.49043720161998
random,training,107.48028262417692
random,training,107.35464159980556
random,training,108.2280158989634
random,training,106.18489391814697
random,training,103.44769984716854
random,training,103.46505195612434
random,training,103.11290482415181
random,training,100.7202806944476
random,training,99.45285615680591
random,training,96.91054584794017
random,training,98.82276005794446
random,training,105.13557017770849
random,training,110.90317445015069
random,training,108.04178729450021
random,training,108.44062337647367
random,training,105.30257238754365
random,training,106.5446633505496
random,training,108.35015938257447
random,training,112.02453973522468
random,training,113.85632229107328
random,training,115.96269897748645
random,training,117.89255322009218
random,training,121.91290595954793
random,training,125.87721803011007
random,training,122.42487230631488
random,training,121.1605342613973
random,training,125.5736639693301
random,training,119.77273062957237
random,training,110.53770904369172
random,training,115.1383451278495
random,training,121.11823379647045
random,training,123.09875962859401
random,training,122.61349601836318
random,training,118.64562429265995
random,training,118.94182104124931
random,training,114.56568358061209
random,training,112.16681496797285
random,training,111.64725413740217
random,training,113.802726849471
random,training,116.55922357612376
random,training,115.23782905785706
random,training,114.40147036877138
random,training,108.53619361144763
random,training,107.23704226955277
random,training,109.91206817604649
random,training,109.75242690503568
random,training,109.92650932283738
random,training,110.75888360201907
random,training,112.80031294401684
random,training,107.81052164983161
random,training,105.80864802492711
random,training,109.3550032108563
random,training,105.53005355040277
random,training,111.07686585252344
random,training,107.711903550728
random,training,109.35167064931449
random,training,110.02371784464263
random,training,112.95877795832341
random,training,112.25963487198726
random,training,110.03798098952093
random,training,110.19831463394796
random,training,110.86653428973125
random,training,117.48979370707303
random,training,114.85739015429206
random,training,114.46206628067601
random,training,120.29956080801759
random,training,122.04840146579069
random,training,123.47389720543691
random,training,124.70716915297804
random,training,123.90749989125817
random,training,120.92417899962783
random,training,125.07933590514672
random,training,123.4148995528908
random,training,126.4759056189876
random,training,121.07247993913712
random,training,126.41634231340757
random,training,124.81297027243863
random,training,126.76822892952039
random,training,119.5565779658952
random,training,121.48902164184042
random,training,117.07652026995716
random,training,121.32255873751775
random,training,123.53720736959049
random,training,115.2269805263591
random,training,111.54204195950933
random,training,113.603339650213
random,training,112.74946270250567
random,training,112.42395907578542
random,training,113.45002657546877
random,training,113.30012884168966
random,training,115.1105316709224
random,training,117.10123038234882
random,training,120.10971051152639
random,training,122.26430032614817
random,training,123.76228951409823
random,training,118.55812099923614
random,training,115.6885347350392
random,training,117.49466423252584
random,training,118.7261678211868
random,training,117.58363744956567
random,training,115.34575636203226
random,training,110.79486469749884
random,training,113.92997702403466
random,training,113.6885314491443
random,training,113.14385332674311
random,training,114.68062428239404
random,training,120.72869418228024
random,training,119.60417479869776
random,training,123.24363393470234
random,training,119.5384250818775
random,training,119.96729793718379
random,training,124.54741427827825
random,training,123.03322225007662
random,training,122.31421801520285
random,training,123.34624452563192
random,training,118.12042064545273
random,training,114.90835704586294
random,training,113.64651203356908
random,training,113.0638677505358
random,training,113.50641552084633
random,training,108.02037643037356
random,training,106.65413704058612
random,training,104.30232567742972
random,training,99.892761559512
random,training,101.64516120671703
random,training,99.25566860063624
random,training,96.35090618970024
random,training,99.79151096746735
random,training,99.33561177191216
random,training,110.02593316313278
random,training,111.73142333306137
random,training,113.88830398575257
random,training,109.36217951686689
random,training,109.04742909382452
random,training,112.34694589662848
random,training,115.70521086364568
random,training,119.02244741246817
random,training,114.94667380748737
random,training,117.67334589069236
random,training,111.86466285166539
random,training,110.28090869757484
random,training,109.74837861932495
random,training,107.63689554763243
random,training,113.13838997264455
random,training,117.02596068863241
random,training,115.82682823571893
random,training,118.60635889501249
random,training,115.2870060592707
random,training,118.0799593297373
random,training,119.85718929324037
random,training,118.7018919158221
random,training,119.05931590299379
random,training,120.74453765962303
random,training,117.87711128855412
random,training,115.18809474386966
random,training,116.99428799006336
random,training,117.45986537164696
random,training,123.31118974563377
random,training,124.04582201170172
random,training,120.59537700815606
random,training,118.33356484401317
random,training,116.87158518352315
random,training,117.9476144448671
random,training,119.00848943387355
random,training,125.61402807794444
random,training,119.2348445050865
random,training,118.38574017179813
random,training,115.23788720526576
random,training,117.59948249862842
random,training,120.98206704826048
random,training,119.96020895354631
random,training,123.73855817807369
random,training,123.97682100300915
random,training,124.73431771967633
random,training,124.85376132564016
random,training,117.62270316178002
random,training,117.12243096891929
random,training,122.87489971337827
random,training,116.97879695891838
random,training,122.5403213719519
random,training,124.63650301865536
random,training,127.19819871768773
random,training,126.18669534492123
random,training,120.94246959393325
random,training,123.03258555274073
random,training,119.86551627595559
random,training,116.73738812376523
random,training,116.3745676869314
random,training,125.99729150685323
random,training,127.02425656172012
random,training,131.51679200898846
random,training,127.03634500321603
random,training,125.96916095626104
random,training,126.46305215501297
random,training,126.87827957398594
random,training,121.37856719450481
random,training,128.4285317962838
random,training,134.4945256275985
random,training,127.14130558067787
random,training,122.65628885616708
random,training,114.11494041913517
random,training,111.86958606536233
random,training,110.14949432978554
random,training,110.38928891762474
random,training,115.37384093754254
random,training,113.2918988403066
random,training,114.7045759065362
random,training,112.84196282703786
random,training,116.21202846290824
random,training,121.45006355545576
random,training,116.69531691964599
random,training,118.33208499446724
random,training,119.7953555617007
random,training,119.15554012500778
random,training,120.63657668375028
random,training,123.23457750392232
random,training,113.5914772209984
random,training,117.0295194050324
random,training,115.06245845267333
random,training,116.5422227672299
random,training,116.31667452943707
random,training,111.39031559587518
random,training,113.57518747243783
random,training,109.8077698305544
random,training,114.01648664615013
random,training,115.27137515784116
random,training,114.78054306737764
random,training,111.35786863649382
random,training,108.17877034233823
random,training,115.56772474709182
random,training,119.85569616412114
random,training,119.73972488845989
random,training,119.37516023760945
random,training,122.76963135733214
random,training,121.23205857959418
random,training,123.56541408793127
random,training,125.90181882629174
random,training,119.84935507257256
random,training,118.72298508865924
random,training,120.79158160925462
random,training,128.00511792356724
random,training,125.15674013271605
random,training,121.55337172207632
random,training,118.37073650784421
random,training,117.00011351596983
random,training,110.74216872103943
random,training,112.45361901515506
random,training,107.51381230064803
random,training,116.01961275764403
random,training,112.36192121673153
random,training,112.57936840303931
random,training,108.0799166315827
random,training,112.1736447691136
random,training,109.98076954392508
