Neighborhood,Time
random,0.0186769962310791
random,0.018185138702392578
random,0.018880844116210938
random,0.019315004348754883
random,0.018724918365478516
random,0.0187380313873291
random,0.018691301345825195
random,0.018307924270629883
random,0.018510103225708008
random,0.018245697021484375
random,0.01860976219177246
random,2.2273359298706055
random,0.018747806549072266
random,0.01852703094482422
random,0.018318891525268555
random,0.018246889114379883
random,0.3125879764556885
random,0.018655061721801758
random,0.018444061279296875
random,0.018674850463867188
random,0.01875782012939453
random,0.01880788803100586
random,0.018502235412597656
random,0.018390893936157227
random,0.019098758697509766
random,0.018615007400512695
random,0.018795013427734375
random,0.018584012985229492
random,0.018368005752563477
random,0.018758058547973633
random,0.018934011459350586
random,0.01885509490966797
random,0.038928985595703125
random,0.018491029739379883
random,0.01869988441467285
random,0.01959705352783203
random,0.018632888793945312
random,0.018053054809570312
random,0.01838374137878418
random,0.01839900016784668
random,0.018386125564575195
random,0.12362790107727051
random,0.018687009811401367
random,0.018388986587524414
random,0.01860499382019043
random,0.01872396469116211
random,0.018413066864013672
random,0.0182650089263916
random,0.01885700225830078
random,0.018622159957885742
custom,4.577252149581909
custom,4.584762811660767
custom,4.604753017425537
custom,4.611423015594482
custom,4.637305021286011
custom,4.628238201141357
custom,4.646973371505737
custom,4.716691970825195
custom,4.6833882331848145
custom,4.676095008850098
custom,4.665694952011108
custom,4.671111106872559
custom,4.688675880432129
custom,4.67477011680603
custom,4.693684816360474
custom,4.692312002182007
custom,4.752352952957153
custom,4.8585309982299805
custom,4.737498044967651
custom,4.725762844085693
custom,4.7501749992370605
custom,4.713226079940796
custom,4.753910064697266
custom,4.746341943740845
custom,4.768584966659546
custom,4.712707757949829
custom,4.881771087646484
custom,6.6747801303863525
custom,4.839058876037598
custom,4.791359186172485
custom,4.747434854507446
custom,4.74589991569519
custom,4.761960983276367
custom,4.750131130218506
custom,4.756379842758179
custom,4.76265287399292
custom,4.750736951828003
custom,4.7328081130981445
custom,4.746415138244629
custom,4.753753662109375
custom,4.762228012084961
custom,4.756270885467529
custom,4.8084259033203125
custom,4.800089120864868
custom,4.786393642425537
custom,4.783221960067749
custom,4.779566287994385
custom,4.763948917388916
custom,4.800153970718384
custom,4.767259836196899
genetic,18.958613872528076
genetic,18.475589990615845
genetic,18.622174978256226
genetic,18.91107201576233
genetic,18.517640113830566
genetic,180.54027271270752
genetic,17.59544610977173
genetic,18.154221057891846
genetic,18.168365955352783
genetic,18.453571796417236
genetic,19.279182195663452
genetic,19.055549144744873
genetic,19.056509733200073
genetic,18.419675827026367
genetic,18.577577114105225
genetic,18.29451322555542
genetic,18.384477138519287
genetic,18.63243579864502
genetic,1067.5045549869537
genetic,17.541393756866455
genetic,17.787588119506836
genetic,18.01101803779602
genetic,18.27229070663452
genetic,18.568109035491943
genetic,18.513000965118408
genetic,18.440716981887817
genetic,369.3993716239929
genetic,18.03715491294861
genetic,17.67460298538208
genetic,17.81732487678528
genetic,17.867159128189087
genetic,17.936494827270508
genetic,18.82972502708435
genetic,17.325605869293213
genetic,18.464905977249146
genetic,18.33076810836792
genetic,111.15792274475098
genetic,17.805439949035645
genetic,18.458072185516357
genetic,17.85516595840454
genetic,18.088643074035645
genetic,18.285542011260986
genetic,18.53556203842163
genetic,18.64830207824707
genetic,18.23392105102539
genetic,18.391665935516357
genetic,1352.9952929019928
genetic,18.073639154434204
genetic,17.13218593597412
genetic,17.10401201248169
custom_genetic,32.27520275115967
custom_genetic,33.51235508918762
custom_genetic,34.20722770690918
custom_genetic,34.21195697784424
custom_genetic,33.83787488937378
custom_genetic,34.153549909591675
custom_genetic,34.455382108688354
custom_genetic,34.4308078289032
custom_genetic,34.56831622123718
custom_genetic,34.69845986366272
custom_genetic,34.259520053863525
custom_genetic,33.95625424385071
custom_genetic,34.97418522834778
custom_genetic,34.72043967247009
custom_genetic,35.00123620033264
custom_genetic,34.620818853378296
custom_genetic,34.02619981765747
custom_genetic,34.87308192253113
custom_genetic,35.55592918395996
custom_genetic,34.848061084747314
custom_genetic,33.68966507911682
custom_genetic,34.849445819854736
custom_genetic,62.943044900894165
custom_genetic,931.4442219734192
custom_genetic,31.65856099128723
custom_genetic,930.7449290752411
custom_genetic,33.291078090667725
custom_genetic,33.73165321350098
custom_genetic,33.65772294998169
custom_genetic,33.33015823364258
custom_genetic,33.21754860877991
custom_genetic,33.52101016044617
custom_genetic,33.7496440410614
custom_genetic,33.90939402580261
custom_genetic,388.9495301246643
custom_genetic,930.0590989589691
custom_genetic,32.04138517379761
custom_genetic,34.11256003379822
custom_genetic,34.092796087265015
custom_genetic,33.85950303077698
custom_genetic,36.90401911735535
custom_genetic,36.787923097610474
custom_genetic,36.45377588272095
custom_genetic,36.550647020339966
custom_genetic,38.17839288711548
custom_genetic,35.120018005371094
custom_genetic,35.113579988479614
custom_genetic,34.8442018032074
custom_genetic,35.12063908576965
custom_genetic,35.20202922821045
baseline,0.0015408992767333984
baseline,0.0009472370147705078
baseline,0.0008409023284912109
baseline,0.0007948875427246094
baseline,0.0007569789886474609
baseline,0.0009229183197021484
baseline,0.0009028911590576172
baseline,0.0008139610290527344
baseline,0.001035928726196289
baseline,0.0007600784301757812
baseline,0.0011012554168701172
baseline,0.0011529922485351562
baseline,0.001127004623413086
baseline,0.001093149185180664
baseline,0.001035928726196289
baseline,0.0009238719940185547
baseline,0.0008890628814697266
baseline,0.001271963119506836
baseline,0.001032114028930664
baseline,0.0008261203765869141
baseline,0.0008940696716308594
baseline,0.0008182525634765625
baseline,0.000843048095703125
baseline,0.0008471012115478516
baseline,0.0008192062377929688
baseline,0.0008246898651123047
baseline,0.0007851123809814453
baseline,0.0007662773132324219
baseline,0.0008077621459960938
baseline,0.0009589195251464844
baseline,0.0008339881896972656
baseline,0.0007011890411376953
baseline,0.0007898807525634766
baseline,0.0007610321044921875
baseline,0.000885009765625
baseline,0.0009086132049560547
baseline,0.0008137226104736328
baseline,0.0007598400115966797
baseline,0.0007328987121582031
baseline,0.000904083251953125
baseline,0.0007431507110595703
baseline,0.0007078647613525391
baseline,0.0008418560028076172
baseline,0.000701904296875
baseline,0.0007169246673583984
baseline,0.0007479190826416016
baseline,0.0007240772247314453
baseline,0.0007691383361816406
baseline,0.0008907318115234375
baseline,0.00078582763671875
